frequency_tier,major_group,subgroup,top,morpheme,gloss_or_meaning,origin,notes
meta,Meta,How_to_read,Helper,(see column meanings),frequency_tier: 1=most common everyday; 2=high; 3=general; 4=common in academic/technical text; 5=specialized. major_group: Free_Lexical | Free_Functional | Bound_Greek | Bound_Latin | Bound_Germanic | Frankish_or_Continental_WG,"This file is a condensed morphological reference, not a linguistically exhaustive corpus inventory.","category: Entity (beings/roles/institutions); Location (places/regions/spatial-temporal frames); Object (physical items/substances); Helper (function words, adverb-like support); Tracker (actions/processes, verb-like); Secret (properties/qualities, adjective-like). Many English words are polymorphemic; listed bases/affixes are representative. Etymologies simplify complex borrowing chains."
1,Free_Functional,determiner_article,Helper,a,indefinite article (before consonant sound),Old English,
1,Free_Functional,determiner_article,Helper,an,indefinite article (before vowel sound),Old English,
1,Free_Functional,determiner_article,Helper,the,definite article,Old English,
1,Free_Functional,pronoun,Entity,I,1st singular subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,me,1st singular object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,my,1st singular possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,mine,1st singular possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,we,1st plural subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,us,1st plural object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,our,1st plural possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,ours,1st plural possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,you,2nd pronoun (subject/object),Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,your,2nd possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,yours,2nd possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,he,3rd masc. subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,him,3rd masc. object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,his,3rd masc. possessive,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,she,3rd fem. subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,her,3rd fem. object/possessive det.,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,hers,3rd fem. possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,it,3rd neuter pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,its,3rd neuter possessive,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,they,3rd plural epicene subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,them,3rd plural object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,their,3rd plural possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,theirs,3rd plural possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,one,indefinite pronoun; number one,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,oneself,reflexive of one,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun_reflexive,Entity,myself,1sg reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,yourself,2sg reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,himself,3sg masc. reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,herself,3sg fem. reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,itself,3sg neut. reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,ourselves,1pl reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,yourselves,2pl reflexive,Old English + self compounds,
1,Free_Functional,pronoun_reflexive,Entity,themselves,3pl reflexive,Old English + self compounds,
1,Free_Functional,determiner_wh,Helper,this,proximal demonstrative,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,that,distal demonstrative,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,these,proximal plural,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,those,distal plural,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,some,indefinite quantifier/determiner,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,any,free-choice/indefinite,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,every,universal distributive,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,each,distributive,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,all,universal quantifier,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,both,dual quantifier,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,few,small quantity,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,little,small amount (non-count),Old English / mixed,
1,Free_Functional,determiner_wh,Helper,many,large count,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,much,large non-count,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,more,comparative quantifier,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,most,superlative quantifier,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,several,more than two but indefinite,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,such,demonstrative of type,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,what,wh- interrogative/relative,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,which,wh- restrictive,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,whose,possessive wh-,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,who,wh- subject (person),Old English / mixed,
1,Free_Functional,determiner_wh,Helper,whom,wh- object (formal),Old English / mixed,
1,Free_Functional,determiner_wh,Location,where,wh- place,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,when,wh- time,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,why,wh- reason,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,how,wh- manner,Old English / mixed,
1,Free_Functional,determiner_wh,Helper,whether,alternative interrogative,Old English / mixed,
1,Free_Functional,conjunction_coordinating,Helper,and,coordinating conjunction,Old English,
1,Free_Functional,conjunction_coordinating,Helper,or,disjunctive coordinator,Old English,
1,Free_Functional,conjunction_coordinating,Helper,but,adversative coordinator,Old English,
1,Free_Functional,conjunction_coordinating,Helper,nor,negative coordinator,Old English,
1,Free_Functional,conjunction_coordinating,Helper,so,result coordinator / degree,Old English,
1,Free_Functional,conjunction_coordinating,Helper,yet,adversative / aspect,Old English,
1,Free_Functional,conjunction_coordinating,Helper,for,causal coordinator (archaic),Old English,
2,Free_Functional,conjunction_subordinating,Helper,because,causal subordinator,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,although,concessive subordinator,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,if,conditional subordinator,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,unless,negative conditional,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,until,temporal terminus,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,while,temporal/concessive,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,whereas,contrastive,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,since,temporal/causal,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,than,comparative subordinator,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,as,manner/temporal/comparative,Old English / Old Norse / Latin loans in ME,
2,Free_Functional,conjunction_subordinating,Helper,that,complementizer/relative,Old English / Old Norse / Latin loans in ME,
1,Free_Functional,preposition,Location,of,genitive/partitive,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,in,inclusion/location,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,to,direction/dative,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,for,benefit/purpose,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,with,comitative,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,on,contact/support,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,at,point location,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,from,source,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,by,agent/means/near/via,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,about,topic/approximation,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,into,ingress/inward motion,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,through,path/medium/completion,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,during,duration,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,including,inclusion,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,against,opposition,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,among,multi-partitive,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,throughout,pervasive,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,despite,concession,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,toward,direction,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,towards,direction (variant),Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,upon,on (formal/literary),Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,concerning,topic,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,considering,given,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,regarding,topic,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,following,after in time,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,across,traversal,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,behind,posterior,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,below,lower,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,beneath,under,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,beside,next to,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,between,intermediate,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,beyond,excess/far side,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,but,except,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,down,descent,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,inside,interior,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,like,similarity,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,near,proximity,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,off,disconnection,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,onto,contact motion,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,opposite,facing,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,out,egress,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,outside,exterior,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,over,above/coverage,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,past,beyond in space/time,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,per,each/by,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,plus,addition,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,round,circumference,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,since,from a time,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,than,comparison,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,till,until (informal),Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,under,below,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,underneath,directly under,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,unlike,dissimilarity,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,until,terminus,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,up,ascent,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,via,by way of,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,within,inside limit,Old English / Old Norse / Latin/French loans,
1,Free_Functional,preposition,Location,without,absence,Old English / Old Norse / Latin/French loans,
1,Free_Functional,negation,Helper,not,negation particle,Old English,
1,Free_Functional,negation,Helper,no,negative determiner/answer,Old English,
1,Free_Functional,negation,Helper,nor,negative continuation,Old English,
1,Free_Functional,negation,Helper,never,neg. time adverb,Old English,
1,Free_Functional,negation,Helper,neither,neg. alternative,Old English,
1,Free_Functional,negation,Helper,nobody,neg. pronoun,Old English,
1,Free_Functional,negation,Helper,nothing,neg. pronoun,Old English,
1,Free_Functional,negation,Helper,nowhere,neg. place,Old English,
1,Free_Functional,negation,Helper,no one,neg. pronoun,Old English,
1,Free_Functional,auxiliary_modal,Helper,do,dummy auxiliary / main verb,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,does,3sg present auxiliary,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,did,past auxiliary,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,have,perfect auxiliary / main verb,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,has,3sg perfect auxiliary,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,had,past perfect auxiliary,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,be,copula/progressive/passive auxiliary,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,am,1sg copula,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,is,3sg copula,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,are,plural/2sg copula,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,was,1/3sg past copula,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,were,plural/2 past copula,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,been,past participle be,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,being,progressive/participle,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,will,future modal,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,would,conditional modal,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,shall,future/deontic,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,should,weak obligation/hypothetical,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,can,ability/permission,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,could,past can / irrealis,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,may,permission/possibility,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,might,weak possibility,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,must,strong necessity,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,ought,weak obligation,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,dare,marginal modal,Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,need,semi-modal (need not),Old English; modals mixed Germanic,
1,Free_Functional,auxiliary_modal,Helper,used,past habit (used to),Old English; modals mixed Germanic,
2,Free_Functional,particle_adverb_misc,Helper,there,existential/locative,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,here,locative,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,now,temporal deictic,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,then,temporal/anaphoric,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,so,degree/anaphor,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,very,intensifier,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,just,restrictive/temporal,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,only,exclusive,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,even,scalar focus,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,also,additive,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,too,additive,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,either,additive in negatives,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,again,repetition,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,once,one time,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,twice,two times,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,thrice,three times (archaic),Mixed,
2,Free_Functional,particle_adverb_misc,Helper,yes,affirmation,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,yeah,affirmation informal,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,no,negation,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,ok,agreement,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,please,politeness marker / request softener,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,hello,greeting,Mixed,
2,Free_Functional,particle_adverb_misc,Helper,goodbye,farewell,Mixed,
1,Free_Lexical,noun_verb_common,Tracker,time,temporal interval,Old English,
1,Free_Lexical,noun_verb_common,Tracker,way,manner/path,Old English,
1,Free_Lexical,noun_verb_common,Tracker,year,calendar year,Old English,
1,Free_Lexical,noun_verb_common,Tracker,work,labor/employment,Old English,
1,Free_Lexical,noun_verb_common,Tracker,day,solar day,Old English,
1,Free_Lexical,noun_verb_common,Tracker,man,adult male / human,Old English,
1,Free_Lexical,noun_verb_common,Tracker,world,earth/human sphere,Old English,
1,Free_Lexical,noun_verb_common,Tracker,life,living,Old English,
1,Free_Lexical,noun_verb_common,Tracker,hand,body part,Old English,
1,Free_Lexical,noun_verb_common,Tracker,part,piece,Old English,
1,Free_Lexical,noun_verb_common,Tracker,child,young human,Old English,
1,Free_Lexical,noun_verb_common,Tracker,eye,organ of sight,Old English,
1,Free_Lexical,noun_verb_common,Tracker,woman,adult female,Old English,
1,Free_Lexical,noun_verb_common,Tracker,place,location,Old English,
1,Free_Lexical,noun_verb_common,Tracker,week,seven-day period,Old English,
1,Free_Lexical,noun_verb_common,Tracker,case,instance/container/legal sense,Old English,
1,Free_Lexical,noun_verb_common,Tracker,point,sharp tip/dot,Old English,
1,Free_Lexical,noun_verb_common,Tracker,government,governing institution,Old French from Latin,
1,Free_Lexical,noun_verb_common,Tracker,company,business/companionship,Old French,
1,Free_Lexical,noun_verb_common,Tracker,number,count/numeral,Old French/Anglo-French,
1,Free_Lexical,noun_verb_common,Tracker,night,dark period,Old English,
1,Free_Lexical,noun_verb_common,Tracker,home,dwelling,Old English,
1,Free_Lexical,noun_verb_common,Tracker,water,H2O,Old English,
1,Free_Lexical,noun_verb_common,Tracker,room,chamber,Old English,
1,Free_Lexical,noun_verb_common,Tracker,mother,female parent,Old English,
1,Free_Lexical,noun_verb_common,Tracker,area,region,Latin,
1,Free_Lexical,noun_verb_common,Tracker,money,currency,Old French,
1,Free_Lexical,noun_verb_common,Tracker,story,narrative,Anglo-French,
1,Free_Lexical,noun_verb_common,Tracker,fact,thing done/truth,Latin,
1,Free_Lexical,noun_verb_common,Tracker,month,lunar period,Old English,
1,Free_Lexical,noun_verb_common,Tracker,lot,fate/much,Old English,
1,Free_Lexical,noun_verb_common,Tracker,right,correct/side,Old English,
1,Free_Lexical,noun_verb_common,Tracker,study,learn/examine,Old French/Latin,
1,Free_Lexical,noun_verb_common,Tracker,book,text,Old English,
